actor/actor_loss,actor/alpha,actor/alpha_loss,actor/bc_loss,actor/entropy,actor/q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
-3.0865355,1.0,6.739832,0.0,3.7398322,-0.6532967,3.6532965,9.737111,1.8340135,-0.650863,-3.6435387,6.739832,-0.51721025,160.50127,5000
68.248505,0.28945008,2.0522997,0.0,4.0903406,-69.43246,70.300804,0.14780685,-50.84487,-69.442215,-70.796364,2.0522997,-0.08104549,6.8714213,10000
119.362946,0.09463225,0.64777666,0.0,3.8451996,-119.72682,120.01072,0.35361522,-89.5783,-119.79585,-121.94345,0.64777666,-0.25964367,13.431881,15000
149.5584,0.04079664,-0.020192757,0.0,-3.4949613,-149.4158,149.53821,0.69666624,-95.18174,-150.589,-161.71341,0.26539323,-0.31201875,26.93785,20000
157.6702,0.03723308,0.0040269354,0.0,-2.8918452,-157.56253,157.67422,0.36073467,-97.98677,-158.5349,-182.8776,0.22031246,-0.25063872,26.555979,25000
168.56175,0.022523299,-0.0034212903,0.0,-3.1519,-168.49075,168.55833,0.420396,-105.77901,-169.33134,-193.42674,0.29304895,-0.296659,22.513212,30000
177.10716,0.03309503,0.0009913823,0.0,-2.9700444,-177.00887,177.10815,0.387736,-111.682106,-178.04405,-208.8001,0.2037507,-0.1815301,18.257038,35000
178.92569,0.036946315,0.028129892,0.0,-2.238628,-178.84296,178.95383,0.57436675,-108.08337,-180.03203,-220.2287,0.19092306,-0.19942454,24.106304,40000
178.69211,0.03986007,-0.005703587,0.0,-3.1430902,-178.56683,178.6864,0.5924162,-102.565125,-179.72386,-230.61073,0.2726682,-0.28214252,26.71407,45000
178.82578,0.03943798,0.019544361,0.0,-2.504428,-178.72702,178.84532,0.51189685,-113.90256,-179.76663,-240.59676,0.35100543,-0.28271747,21.69506,50000
179.80457,0.039760914,0.008286013,0.0,-2.791604,-179.69356,179.81285,0.9088174,-93.6576,-180.79585,-250.51031,0.25265625,-0.25182816,25.931301,55000
174.67403,0.04420288,-0.0022234102,0.0,-3.0503001,-174.5392,174.6718,0.77903605,-103.87805,-175.8088,-245.72054,0.30480644,-0.30576256,26.967533,60000
173.25119,0.041689165,0.0010900818,0.0,-2.9738522,-173.12723,173.25227,0.7925386,-86.85696,-174.22014,-254.57735,0.26300088,-0.288333,25.182102,65000
170.8198,0.040440932,-0.009343743,0.0,-3.2310467,-170.68912,170.81046,0.6467112,-92.44442,-171.8551,-242.25482,0.17317978,-0.15766133,18.566658,70000
171.5639,0.03925516,0.016714036,0.0,-2.5742207,-171.46284,171.58061,0.54382473,-102.05619,-172.52168,-241.20209,0.15696208,-0.21168967,20.34565,75000
174.74866,0.035479993,0.0024947969,0.0,-2.9296844,-174.64471,174.75114,0.65723294,-92.19502,-175.72594,-247.53671,0.3425078,-0.40419516,23.649445,80000
173.1227,0.039621137,0.005114771,0.0,-2.870908,-173.00894,173.1278,0.87047064,-99.17903,-174.15096,-244.02187,0.35349843,-0.39199275,25.173775,85000
173.41455,0.042871285,0.006353158,0.0,-2.8518085,-173.29228,173.4209,0.71013093,-98.64098,-174.46742,-250.01706,0.2958602,-0.3404705,20.836048,90000
169.6148,0.043226775,-0.014250775,0.0,-3.3296747,-169.47086,169.60056,1.0113026,-85.0453,-170.79663,-244.28012,0.24917173,-0.25663322,22.327122,95000
