actor/actor_loss,actor/alpha,actor/alpha_loss,actor/bc_loss,actor/entropy,actor/q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
-1.8430817,1.0,4.516476,0.0,2.0164762,-0.17339462,2.6733944,10.520203,3.456719,-0.17751476,-2.9816036,4.516476,-0.9924539,174.53639,5000
69.05104,0.28931883,1.5230026,0.0,2.7640977,-69.850746,70.57404,0.092329375,-55.78422,-69.85171,-70.738754,1.5230026,-0.03920301,5.070231,10000
119.574554,0.0944807,0.48926133,0.0,2.6784263,-119.82761,120.06381,0.38863057,-84.3185,-119.85943,-122.07462,0.48926133,-0.33617508,16.228373,15000
152.57845,0.036033265,0.0580547,0.0,-0.8888582,-152.54642,152.6365,0.63843733,-85.98927,-153.22026,-161.98158,0.26469854,-0.26149482,24.780636,20000
165.73865,0.02982168,-0.0042450014,0.0,-2.6423461,-165.65985,165.7344,0.68923295,-92.55227,-166.59013,-192.50041,0.27353644,-0.2755875,34.11176,25000
172.69324,0.03293371,0.0014846341,0.0,-2.4549205,-172.6124,172.69472,0.46053824,-112.370995,-173.44981,-212.55936,0.38101402,-0.37287745,30.769468,30000
184.47824,0.026936276,0.011527454,0.0,-2.0720472,-184.42242,184.48976,0.38916513,-128.98071,-185.26328,-214.23831,0.20081314,-0.23476636,21.54744,35000
191.0466,0.023809165,0.0018481192,0.0,-2.4223778,-190.98892,191.04845,0.63996786,-119.018745,-191.68832,-228.03555,0.2771484,-0.30220565,25.902615,40000
194.43057,0.030876156,0.013864406,0.0,-2.0509672,-194.36725,194.44444,0.5983167,-108.29433,-195.11005,-245.39561,0.34274828,-0.3452018,27.28394,45000
193.54068,0.04282221,0.001851186,0.0,-2.4567704,-193.43546,193.54253,0.58957136,-107.21784,-194.52673,-259.2057,0.30557057,-0.29906785,33.234344,50000
191.96341,0.041682843,0.002823614,0.0,-2.4322596,-191.86203,191.96623,0.61974925,-121.794624,-192.81375,-268.19595,0.26945856,-0.27150074,27.155617,55000
190.88943,0.044495896,-0.0033978014,0.0,-2.5763621,-190.7748,190.88603,0.81066954,-100.18791,-191.82664,-275.12607,0.38546887,-0.38462648,29.211086,60000
190.38882,0.043971486,-0.0055697584,0.0,-2.6266675,-190.27333,190.38326,0.55403185,-110.0107,-191.32373,-280.68002,0.23314402,-0.29147077,25.11515,65000
189.03387,0.042242013,-0.0043286164,0.0,-2.6024718,-188.92395,189.02954,0.60287184,-110.96579,-189.90604,-285.443,0.3584845,-0.36914402,27.296408,70000
187.74475,0.042615924,-0.0024353734,0.0,-2.557147,-187.63576,187.74231,0.8017006,-114.55592,-188.6486,-270.6283,0.47402728,-0.34980917,40.003166,75000
188.78293,0.039717365,0.012358572,0.0,-2.188837,-188.69598,188.79529,0.5955373,-112.136604,-189.61118,-272.12894,0.23476431,-0.22253942,23.750496,80000
189.62024,0.04428556,0.00020675655,0.0,-2.4953313,-189.50974,189.62045,0.65934795,-109.75869,-190.57535,-279.94644,0.27762148,-0.2897868,26.485685,85000
188.63385,0.04190565,-0.0023981703,0.0,-2.5572278,-188.52669,188.63145,0.8985672,-102.233154,-189.57169,-266.29965,0.22456709,-0.2393762,27.430347,90000
