actor/actor_loss,actor/alpha,actor/alpha_loss,actor/bc_loss,actor/entropy,actor/q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
-1.9308921,1.0,4.3988466,0.0,1.8988465,0.032045677,2.4679546,9.866457,2.707663,0.028313523,-3.0592084,4.3988466,-0.7703459,168.18513,5000
68.47475,0.28933075,1.4621792,0.0,2.55366,-69.21361,69.93693,0.13466924,-52.391853,-69.217125,-70.51385,1.4621792,-0.08577609,6.395567,10000
119.74164,0.094495654,0.4663017,0.0,2.4346366,-119.971695,120.20794,0.27539048,-78.86964,-120.007866,-121.86807,0.4663017,-0.21969818,13.63114,15000
152.97888,0.035122078,0.077452786,0.0,-0.29475504,-152.96854,153.05634,0.7075481,-93.92659,-153.63658,-161.84229,0.32425976,-0.31047425,22.894875,20000
164.28342,0.037989233,-0.004846519,0.0,-2.627576,-164.1836,164.27856,0.75332665,-102.91225,-165.31462,-191.77048,0.47326827,-0.34741423,39.597324,25000
176.42636,0.026465768,0.0013323167,0.0,-2.4496589,-176.36154,176.42769,0.4314994,-123.65245,-177.01732,-212.52191,0.19341421,-0.22224016,22.05608,30000
185.7099,0.03287698,0.003925191,0.0,-2.3806098,-185.63162,185.71382,0.53780574,-99.77165,-186.70627,-220.6617,0.26674497,-0.30021673,24.466164,35000
190.07014,0.029362187,-0.0054369033,0.0,-2.6851668,-189.9913,190.06471,0.77066195,-104.57516,-190.76117,-234.88881,0.36904353,-0.34332505,35.585426,40000
191.77802,0.04414729,-0.0033942112,0.0,-2.5768838,-191.66426,191.77463,0.5918873,-107.698006,-192.72105,-246.67221,0.2804659,-0.28095543,28.343166,45000
190.09943,0.04465114,0.010832003,0.0,-2.2574081,-189.99863,190.11026,0.83036995,-117.29998,-191.11717,-251.02083,0.3899831,-0.39591503,37.713745,50000
189.17247,0.048683718,-0.008977514,0.0,-2.6844049,-189.04178,189.1635,0.6082535,-112.862206,-190.18425,-255.47746,0.3603784,-0.36032936,29.640366,55000
191.79414,0.042395554,-0.009377846,0.0,-2.7211988,-191.67877,191.78476,0.8561994,-119.866486,-192.79204,-262.7093,0.33353904,-0.55727017,33.704254,60000
190.27023,0.042348407,0.0016094459,0.0,-2.4619951,-190.16595,190.27184,0.5198278,-113.214836,-191.17545,-261.8184,0.29709435,-0.296801,20.794418,65000
192.53865,0.03865275,0.00080462673,0.0,-2.4791832,-192.44283,192.53946,0.6945527,-105.621544,-193.37047,-272.87064,0.35854873,-0.3666086,33.681656,70000
193.00522,0.047763254,-0.016987136,0.0,-2.8556528,-192.8688,192.98824,0.7937328,-102.46319,-194.11491,-274.1692,0.2748992,-0.28619602,30.45692,75000
189.28793,0.041613434,0.002530199,0.0,-2.4391975,-189.18643,189.29047,1.0121335,-95.79655,-190.09343,-267.29752,0.40961847,-0.40158218,27.687115,80000
187.89128,0.046452858,0.006708784,0.0,-2.3555787,-187.78186,187.898,0.81692505,-85.79009,-188.85002,-272.272,0.33096012,-0.55462116,31.337368,85000
191.29048,0.043543853,0.00298858,0.0,-2.4313662,-191.1846,191.29347,1.3475306,-90.9199,-192.1422,-275.46872,0.54410875,-0.56785583,45.42138,90000
190.2721,0.043576047,0.0027700784,0.0,-2.4364312,-190.16592,190.27487,1.0125475,-98.277664,-191.1981,-287.09058,0.33182833,-0.33834833,30.590195,95000
191.06335,0.037967294,0.00033797856,0.0,-2.4910982,-190.96878,191.06369,0.7497892,-117.35277,-191.91887,-286.32974,0.3408449,-0.30382183,25.928503,100000
193.59697,0.039425578,0.0018983535,0.0,-2.4518497,-193.5003,193.59886,0.8638517,-104.956436,-194.38545,-268.15927,0.41207427,-0.48359588,30.479961,105000
193.33496,0.04129892,0.0025305916,0.0,-2.438725,-193.23424,193.3375,0.6884598,-117.082664,-194.28084,-270.28784,0.18523873,-0.33201638,24.103655,110000
193.63365,0.039638303,0.007349112,0.0,-2.3145957,-193.54192,193.641,0.66861755,-116.34804,-194.45894,-272.4021,0.2601443,-0.2768292,25.424507,115000
192.67422,0.042428166,0.004147088,0.0,-2.4022563,-192.57231,192.67838,1.0593847,-112.0965,-193.5139,-266.99707,0.31757325,-0.43551016,28.05504,120000
194.12155,0.03745894,0.0020621822,0.0,-2.4449482,-194.02997,194.12361,0.85364836,-114.17573,-195.00328,-279.49347,0.27728504,-0.34148735,21.607555,125000
194.01584,0.03784923,0.0060952245,0.0,-2.3389604,-193.9273,194.02193,0.6594495,-121.90172,-194.85953,-276.50668,0.24624193,-0.26804528,22.96606,130000
196.57404,0.037432443,0.005017565,0.0,-2.3659568,-196.48547,196.57906,0.7648523,-122.13182,-197.42137,-279.19214,0.29180613,-0.31086582,28.446018,135000
198.73215,0.038557358,-0.006805165,0.0,-2.6764946,-198.62894,198.72534,0.7949114,-116.93812,-199.62222,-285.7829,0.35847977,-0.33202136,24.690584,140000
198.02322,0.03860347,-0.001664891,0.0,-2.543128,-197.92505,198.02156,0.765763,-113.9911,-198.88548,-285.95184,0.20601171,-0.26284724,21.120403,145000
192.24438,0.04146633,0.0037309972,0.0,-2.4100235,-192.14445,192.24812,0.7187312,-98.266335,-193.207,-284.90387,0.36787364,-0.23721747,22.603813,150000
189.78569,0.041336875,-0.0013150165,0.0,-2.5318122,-189.68103,189.78438,1.1869316,-103.48814,-190.81798,-284.9228,0.73638266,-0.67905676,27.746458,155000
194.73192,0.039267078,0.00062004535,0.0,-2.4842095,-194.63437,194.73254,0.80559415,-104.81008,-195.5424,-288.21814,0.29137152,-0.33142295,31.026213,160000
188.2341,0.042726364,0.0042619975,0.0,-2.400249,-188.13153,188.23836,0.6126511,-94.98744,-189.08794,-289.78125,0.366013,-0.36127853,19.570549,165000
195.85077,0.042059965,0.0036754275,0.0,-2.4126146,-195.7493,195.85445,0.7872338,-93.06647,-196.80415,-292.5449,0.4028671,-0.67174536,30.006042,170000
191.74635,0.043365445,0.008178229,0.0,-2.3114114,-191.64612,191.75453,0.6094661,-91.41125,-192.6888,-290.29504,0.29884565,-0.2957459,15.848278,175000
190.85818,0.040374484,-0.00662261,0.0,-2.6640296,-190.75063,190.85156,0.8200173,-92.02418,-191.6928,-286.4373,0.38144627,-0.32317612,20.964283,180000
192.1807,0.040459707,-0.015993083,0.0,-2.8952842,-192.06355,192.1647,1.1585368,-102.468185,-193.06718,-286.94928,0.2378713,-0.2729386,22.400393,185000
191.4672,0.041466795,0.006982921,0.0,-2.331602,-191.37051,191.47418,0.85494614,-93.29614,-192.33601,-285.995,0.24059606,-0.27172336,19.721886,190000
188.67828,0.042551044,-0.0056961006,0.0,-2.633865,-188.5662,188.67259,0.7893832,-83.85356,-189.56548,-285.23907,0.33435783,-0.2276161,20.852955,195000
191.74908,0.040529124,0.012906933,0.0,-2.1815393,-191.66068,191.762,0.6474685,-85.28554,-192.59868,-285.5134,0.40857488,-0.41940734,20.966206,200000
187.81259,0.042662542,-0.009439334,0.0,-2.7212558,-187.6965,187.80315,0.64339304,-83.92076,-188.75105,-288.4123,0.21081707,-0.23172054,15.739389,205000
188.03784,0.04082477,0.0029362505,0.0,-2.4280767,-187.9387,188.04077,0.6839644,-85.20885,-188.8686,-286.52814,0.1990767,-0.19116831,14.607875,210000
189.27599,0.044127148,0.00012048342,0.0,-2.4972696,-189.1658,189.27611,0.9359606,-104.68623,-190.21805,-285.01633,0.77113134,-0.7289062,27.456133,215000
183.20563,0.042757988,-0.005720082,0.0,-2.633778,-183.093,183.1999,0.70147,-88.516464,-184.16187,-286.15897,0.6648829,-0.50197273,20.311533,220000
185.01608,0.04102575,-0.014225523,0.0,-2.8467462,-184.89929,185.00186,1.1169544,-90.809166,-186.02737,-287.84454,0.45533976,-0.48092222,28.778454,225000
