actor/actor_loss,actor/alpha,actor/alpha_loss,actor/bc_loss,actor/entropy,actor/q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
-15.599232,1.0,28.774256,0.0,16.274256,-0.6750237,13.175024,209.95906,2.3259716,-0.6717967,-3.537903,28.774256,-1.8577076,691.20886,5000
206.6524,0.29001227,8.347543,0.0,16.283413,-211.3748,214.99995,1.1355089,-167.21869,-211.85762,-215.52454,8.347543,-0.42682698,31.777529,10000
234.15982,0.10547024,2.062351,0.0,7.053865,-234.90381,236.22217,3.6845932,-153.24213,-237.75024,-262.3175,2.062351,-1.0194399,63.45361,15000
216.96771,0.047133382,0.18671396,0.0,-8.538605,-216.56526,217.15442,4.699756,-124.639465,-221.33116,-267.09866,1.2873902,-1.1839051,74.85543,20000
198.79161,0.03663395,-0.0057541,0.0,-12.65707,-198.32793,198.78586,4.135701,-105.21052,-203.31361,-250.69386,1.0584873,-0.96172476,72.63115,25000
191.84909,0.037700392,0.04074655,0.0,-11.419201,-191.41858,191.88983,2.7560568,-118.83417,-196.224,-249.23921,0.8751005,-0.607605,48.05096,30000
186.48814,0.037907977,-0.03485336,0.0,-13.41942,-185.97945,186.4533,2.920327,-86.43247,-191.37996,-248.24411,0.64030564,-0.6410776,38.388,35000
183.10866,0.03707358,0.0066777105,0.0,-12.31988,-182.65192,183.11534,2.7237015,-108.34169,-188.05273,-254.10634,0.9042907,-1.0749868,63.14487,40000
182.74365,0.03811543,0.00310332,0.0,-12.418581,-182.27032,182.74675,2.4785535,-85.93666,-187.58606,-252.46042,0.7538193,-0.73371613,47.461113,45000
180.41428,0.036315445,0.020427646,0.0,-11.937494,-179.98077,180.43471,2.295449,-81.60114,-185.41351,-254.63855,0.74340713,-0.7903322,44.351906,50000
181.47801,0.037909593,0.03422357,0.0,-11.597232,-181.03838,181.51224,2.6869378,-77.39043,-186.39421,-263.06375,0.47630808,-0.67857397,42.17032,55000
180.97514,0.03544956,0.028522843,0.0,-11.695396,-180.56055,181.00366,2.3959107,-73.92241,-185.66374,-261.4312,0.9939097,-0.98338574,49.33726,60000
178.79898,0.034239832,0.02325962,0.0,-11.820685,-178.39424,178.82224,2.9443347,-75.267876,-183.48766,-260.44928,0.74889505,-0.7822553,68.47483,65000
181.69144,0.03432393,-0.009155396,0.0,-12.766735,-181.25323,181.68228,2.3837721,-92.480354,-186.67525,-261.91867,0.8628314,-0.8752808,43.121796,70000
183.59464,0.033880197,-0.020575307,0.0,-13.107296,-183.15057,183.57407,2.3062341,-72.34238,-188.3865,-268.55405,0.6069598,-0.56712544,44.524128,75000
178.8205,0.036498036,-0.014398641,0.0,-12.894505,-178.34988,178.80609,2.5980294,-69.52431,-183.56267,-263.08594,0.7091024,-0.62518215,49.74563,80000
183.99872,0.03399208,0.012062083,0.0,-12.14515,-183.58588,184.01079,2.2899983,-60.308002,-188.61516,-265.66394,0.66664696,-0.7909481,58.70074,85000
181.07962,0.035370007,0.0028776652,0.0,-12.418641,-180.64035,181.0825,2.4442868,-70.90072,-185.79625,-262.36185,0.9094041,-0.92566603,51.926674,90000
174.97284,0.037416764,-0.016912792,0.0,-12.952011,-174.48822,174.95593,3.6618786,-80.12101,-179.76323,-264.83502,0.93491054,-0.91662437,50.21732,95000
174.95854,0.039137114,-0.034242697,0.0,-13.374942,-174.43509,174.9243,4.975818,-80.81611,-180.41583,-263.07153,0.9337038,-1.0304414,61.231304,100000
172.61816,0.037719075,0.060085997,0.0,-10.907013,-172.20676,172.67825,4.1894603,-62.82817,-177.63951,-266.68512,1.5582024,-1.5221554,77.24093,105000
176.37279,0.03602836,-0.03914901,0.0,-13.5866165,-175.88329,176.33363,1.9060757,-79.16558,-181.5664,-265.47302,0.37919775,-0.3637805,33.727184,110000
177.99747,0.03524028,-0.0033184295,0.0,-12.594166,-177.55365,177.99416,3.1729257,-93.48802,-182.9807,-266.36813,1.2447736,-1.2750858,65.82685,115000
178.46458,0.034691688,0.002647229,0.0,-12.423693,-178.03357,178.46722,3.5157382,-95.00064,-183.12926,-261.80475,0.99787766,-1.0071765,49.69735,120000
182.57529,0.03484072,-0.02059999,0.0,-13.091262,-182.11917,182.55469,1.9358147,-88.57137,-187.24254,-272.1179,1.3828344,-1.4579481,41.87571,125000
183.11014,0.035369635,-0.018473282,0.0,-13.022292,-182.64954,183.09166,1.9550322,-72.00136,-187.82913,-269.74542,0.5661602,-0.6772219,42.46987,130000
184.18292,0.03455657,-0.0032553654,0.0,-12.594204,-183.74771,184.17967,3.2977307,-96.73288,-189.15456,-272.93103,0.5818694,-0.7450158,46.59974,135000
185.67729,0.033350367,0.0049925554,0.0,-12.3503,-185.26541,185.68228,1.9354229,-98.383125,-190.12633,-268.39404,0.35396224,-0.5179626,39.23821,140000
187.09787,0.032984734,0.017478062,0.0,-11.970117,-186.70303,187.11534,2.6573894,-97.620255,-191.77184,-268.1071,0.78534484,-0.47304904,36.322247,145000
190.40173,0.033349518,-0.016829297,0.0,-13.004634,-189.96805,190.3849,1.8730389,-70.985985,-194.60815,-271.46646,0.5770062,-0.5287151,40.155533,150000
189.35635,0.031751364,0.0102294665,0.0,-12.177826,-188.96971,189.36658,2.4593468,-79.60939,-193.7233,-271.72247,0.7778456,-0.884337,52.94927,155000
190.17503,0.031737477,-0.014567339,0.0,-12.958995,-189.76376,190.16046,2.8835895,-91.83328,-194.4091,-271.93903,0.6609085,-0.7123752,45.043587,160000
185.42693,0.034687776,-0.061154038,0.0,-14.262985,-184.93217,185.36577,4.7349143,-92.0222,-190.24771,-271.53897,0.91704273,-0.75329584,60.215645,165000
183.78835,0.03514297,0.0123861525,0.0,-12.14755,-183.36145,183.80074,2.88411,-9.898721,-188.13126,-270.79803,1.014101,-0.77959436,49.94833,170000
183.83414,0.035252657,-0.008562027,0.0,-12.742876,-183.3849,183.82558,3.9074883,-60.75849,-188.88394,-269.94315,0.8206353,-1.1812615,62.721043,175000
182.68419,0.03389481,-0.034696396,0.0,-13.523649,-182.2258,182.64949,2.4518588,-97.462,-187.48306,-270.64462,0.62311095,-0.556112,42.0216,180000
184.84789,0.033691622,0.0026804828,0.0,-12.420441,-184.42941,184.85057,1.8620389,-82.654434,-189.43607,-270.7231,0.43639767,-0.39100474,31.478233,185000
182.00055,0.03405159,-0.00590542,0.0,-12.673426,-181.56898,181.99464,2.243813,-66.976875,-186.2843,-272.06384,0.7548246,-0.8839619,42.546383,190000
186.60518,0.033292834,0.0073995222,0.0,-12.277744,-186.19643,186.61258,3.1079614,-84.69434,-191.20032,-270.4423,0.68949336,-0.64399076,52.299667,195000
186.56378,0.033299178,-0.0056794086,0.0,-12.670557,-186.14186,186.5581,2.4334464,-73.00263,-191.09819,-273.03995,0.4074203,-0.47380716,37.569016,200000
187.95395,0.033675443,0.0039425516,0.0,-12.382925,-187.53696,187.95789,2.5543258,-85.99594,-192.45256,-276.11758,0.82827264,-0.76175493,48.858063,205000
188.41306,0.033812564,-0.033541437,0.0,-13.4919815,-187.95686,188.37952,2.6170585,-87.269646,-193.06453,-267.2196,0.3961308,-0.4083113,33.54516,210000
186.88,0.033342067,-0.0276949,0.0,-13.330629,-186.43555,186.85231,3.0728214,-10.245016,-191.37518,-276.40775,0.30288872,-0.45875666,32.913406,215000
187.63272,0.03226829,-0.026541475,0.0,-13.322525,-187.20282,187.60619,3.132387,-71.54367,-192.02898,-278.5955,0.58927774,-0.5233594,50.170586,220000
187.64868,0.03342853,0.0017860413,0.0,-12.446571,-187.2326,187.65047,2.2832725,-12.41645,-192.43492,-266.2357,1.5363088,-1.7207345,51.006073,225000
190.76619,0.03252387,-0.02271295,0.0,-13.198347,-190.33693,190.74347,2.0931952,-82.98895,-195.05815,-270.74365,0.36151144,-0.31204975,29.202484,230000
190.18533,0.033389997,0.010829166,0.0,-12.175676,-189.77881,190.19617,2.2898755,-71.96649,-194.57591,-274.0078,0.490459,-0.67502105,37.32439,235000
189.11472,0.032187793,0.026715007,0.0,-11.670027,-188.73909,189.14143,1.9157956,-24.06229,-193.65073,-268.5973,0.3514222,-0.35576648,35.847763,240000
187.64194,0.03309006,-0.04970306,0.0,-14.002054,-187.17862,187.59224,2.0394542,-85.90623,-192.25668,-267.32782,0.66477567,-0.7357289,40.515656,245000
190.99295,0.032882012,0.02252347,0.0,-11.8150215,-190.60443,191.01547,2.3315938,-78.1615,-195.3885,-272.72806,0.72559774,-0.7679385,45.10264,250000
