actor/actor_loss,actor/bc_flow_loss,actor/distill_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
231.65878,0.1811143,0.017920928,4.527578,-86.08007,-232.82529,-300.4622,1.1916265,-5.5733614,104.42765,1005000
236.77463,0.16898063,0.018763127,3.8584118,-90.31152,-237.79065,-302.4523,1.7079651,-4.309767,94.25004,1010000
235.43025,0.18514463,0.018426728,4.0506344,-104.8515,-236.38374,-300.71323,13.387518,-2.709847,119.154465,1015000
234.1836,0.18174784,0.01612428,4.451463,-143.42697,-235.03996,-300.71088,3.0534594,-2.485923,108.751045,1020000
231.33974,0.17487298,0.0188247,5.587324,-98.28924,-232.64163,-301.06256,4.509061,-2.3886313,125.640816,1025000
234.94955,0.1773568,0.019950934,5.349683,-96.52481,-235.76993,-302.23755,4.113168,-8.460566,153.24832,1030000
234.07295,0.18440384,0.01723117,5.1259065,-137.73726,-235.08376,-299.56207,13.606365,-0.9694935,114.06172,1035000
237.07126,0.16854106,0.016393766,3.666615,-128.89244,-238.18443,-299.54044,2.9789834,-5.95223,100.08197,1040000
236.09113,0.16723295,0.014860939,5.0751467,-135.88318,-236.35,-299.47894,2.9489322,-8.550359,124.32985,1045000
235.61797,0.2620339,0.017851694,5.553398,-105.54221,-236.49231,-301.13998,7.7264175,-4.300306,142.29214,1050000
235.461,0.1855001,0.018430233,3.983752,-142.85892,-236.42746,-300.2191,2.8514624,-2.4102492,116.10173,1055000
233.00275,0.20179275,0.020919828,4.633816,-132.73827,-234.36115,-300.25064,2.354742,-15.194834,169.63873,1060000
233.92511,0.18826443,0.018244952,6.591558,-153.45511,-234.75323,-299.6443,5.4997067,-3.1857204,158.53555,1065000
232.59717,0.20257984,0.017986085,5.5298734,-96.844055,-233.58453,-300.17535,5.6783123,-4.9795594,128.97418,1070000
231.10272,0.17602123,0.017669702,5.700912,-96.63808,-232.3443,-300.22275,5.0911593,-2.0740857,129.26993,1075000
233.89775,0.1873626,0.017326383,4.924216,-94.6244,-234.57999,-298.41354,8.235407,-3.456765,139.97247,1080000
231.79616,0.1827655,0.016728766,6.908102,-95.96736,-233.0517,-299.59668,28.42854,-3.301404,223.8354,1085000
233.04921,0.15158196,0.019445691,6.1056943,-106.21298,-234.19894,-300.11115,1.9482763,-10.968361,153.9143,1090000
233.5404,0.184405,0.018499378,6.4679585,-89.97851,-234.62543,-299.88275,4.5877166,-4.1420054,160.12779,1095000
233.2945,0.17614448,0.020475678,4.333214,-97.799545,-233.7806,-299.3775,6.3105826,-1.3652034,124.82619,1100000
230.56229,0.15602073,0.018249404,4.7736855,-104.48616,-232.00885,-300.6624,9.056225,-9.546422,128.95955,1105000
235.0428,0.18728149,0.017761728,5.01835,-102.781494,-235.64442,-299.2051,9.228319,-4.1086435,122.19827,1110000
235.41873,0.19003206,0.016210675,3.7843983,-96.955986,-236.65422,-302.3125,1.85061,-5.592449,109.61061,1115000
231.57774,0.18226402,0.018184856,5.8597264,-89.298546,-232.31459,-300.41473,6.212469,-2.2224581,141.83775,1120000
232.64049,0.18236712,0.017300889,4.612322,-97.24355,-233.70348,-300.04755,2.989207,-13.064917,124.21317,1125000
227.75656,0.1925269,0.018085139,6.277508,-94.09957,-229.04245,-302.16046,24.764612,-1.8894657,186.70822,1130000
231.95917,0.16969682,0.017202012,5.4040976,-95.80753,-233.05704,-299.98776,4.084499,-6.832996,134.44739,1135000
231.63406,0.21267398,0.019955145,5.691779,-97.05803,-232.88376,-299.07584,18.049397,-4.5913706,155.16617,1140000
230.74953,0.1889408,0.019482756,4.635424,-91.95015,-231.50137,-297.78348,6.832503,-1.2651865,114.33818,1145000
229.48961,0.1914733,0.019320684,6.831576,-97.1024,-230.54985,-300.9563,2.3074389,-14.565104,175.86327,1150000
229.66154,0.1699122,0.018078623,4.9762087,-85.62358,-230.93645,-299.54498,15.271204,-2.3831863,152.14989,1155000
234.32886,0.19635433,0.01776094,5.1050806,-97.53912,-235.06406,-299.57596,3.2834682,-10.024319,126.69328,1160000
227.44922,0.20004174,0.017089335,6.5079727,-96.724945,-228.62033,-300.18652,8.465893,-5.884593,151.37836,1165000
228.20473,0.1845731,0.01889387,5.309064,-97.49019,-228.80618,-300.30707,11.503612,-3.7993116,138.95656,1170000
224.71675,0.16600952,0.018251529,4.6935644,-94.96456,-225.66907,-297.30334,1.9739207,-9.725951,116.79311,1175000
230.25706,0.21767834,0.019925136,4.140641,-94.942,-231.18167,-300.9307,8.4681,-2.2459097,120.539375,1180000
227.688,0.17775679,0.018065795,5.1249027,-98.05757,-228.74905,-301.55948,11.670883,-1.7672846,134.71234,1185000
229.10786,0.16431104,0.017303253,5.080521,-96.16323,-229.8315,-301.61136,3.2901833,-15.577354,155.85081,1190000
231.10179,0.18162096,0.018778142,5.471677,-91.77854,-231.88156,-300.66376,6.170766,-3.1327043,122.31491,1195000
225.20084,0.17126492,0.018466135,6.1430955,-91.76763,-226.33688,-300.23264,2.589437,-11.476649,157.08289,1200000
229.9526,0.1901192,0.018544273,5.494785,-92.38476,-230.92374,-300.4071,15.401553,-2.532201,169.25903,1205000
225.67851,0.19415013,0.016757334,6.665845,-97.93106,-226.69125,-301.21887,4.460008,-9.775397,176.70775,1210000
222.87714,0.18345773,0.016394453,5.0508175,-83.03719,-223.66187,-302.43066,6.86312,-19.329638,212.14316,1215000
228.58362,0.19752121,0.020225214,5.12488,-91.120026,-229.57385,-298.5771,5.8506274,-5.714034,154.78456,1220000
224.54736,0.17484286,0.0186752,5.995062,-89.83171,-225.75473,-300.6672,2.7418633,-7.901827,135.7354,1225000
226.23389,0.20144421,0.018455064,5.3504906,-32.172825,-227.1498,-300.96503,5.0806093,-14.419637,139.84956,1230000
230.25024,0.16171245,0.018479947,5.861226,-89.444244,-231.21716,-300.21143,5.035197,-6.0436172,138.24112,1235000
218.29333,0.19938686,0.01737948,5.160428,-86.691666,-219.34302,-298.26846,2.3020856,-6.652751,141.10622,1240000
225.82939,0.1776271,0.01829536,5.841677,-84.78946,-227.07469,-300.9677,10.96011,-8.480955,159.76038,1245000
225.12032,0.17368568,0.01793373,5.460012,-30.03255,-226.02632,-300.72913,5.5933266,-12.229617,156.47562,1250000
223.88708,0.17974284,0.020874318,6.6697674,-87.959465,-226.05103,-299.73477,13.955275,-2.1006222,163.51837,1255000
219.82578,0.19438007,0.02273117,5.3318934,-86.62606,-220.91656,-300.15106,1.8101102,-18.92474,168.33426,1260000
218.7944,0.18668681,0.017777268,5.262234,-92.0533,-220.23645,-300.5558,9.773494,-2.5581808,144.59529,1265000
219.71394,0.18091014,0.01789998,5.176128,-68.91015,-220.63158,-300.51956,2.344924,-16.344193,171.69412,1270000
222.43674,0.18345502,0.017738605,5.3041334,-93.123436,-223.69843,-301.75598,8.530677,-8.695131,145.90887,1275000
217.4615,0.18598846,0.020414116,5.5281563,-55.250984,-218.43806,-299.30325,19.39952,-3.75042,198.09758,1280000
216.75299,0.18115188,0.018571114,6.503258,-62.831867,-217.8641,-300.87997,7.460083,-3.0164819,161.56839,1285000
220.17989,0.19098993,0.020230215,6.992309,-44.960876,-221.21542,-299.69827,31.584791,-4.3872313,244.51389,1290000
217.14714,0.16286913,0.020112552,6.149415,-71.14512,-218.2886,-300.96396,22.334106,-3.0143347,180.1742,1295000
219.83047,0.18621005,0.021450322,5.683338,-75.02841,-221.05823,-300.27643,1.4726137,-17.84274,157.10277,1300000
218.61263,0.19365253,0.02026916,6.9001765,-72.27636,-219.81792,-300.52295,6.303996,-8.414596,186.5045,1305000
212.54694,0.18917638,0.020767264,6.4167576,-37.154987,-213.79868,-300.36032,3.4520025,-21.5732,224.40237,1310000
214.96642,0.20259881,0.02128669,7.155556,-55.6164,-216.05075,-300.24728,11.711388,-4.003095,209.45523,1315000
213.09543,0.18111515,0.019904409,7.1500626,-70.68402,-214.51517,-299.91797,14.0824585,-4.2414627,213.23221,1320000
211.12178,0.16375881,0.019812794,6.242062,-60.196316,-211.93509,-299.30066,31.15852,-3.9561896,208.87503,1325000
216.1216,0.19526286,0.021121502,6.3857045,-74.92853,-216.98035,-301.90842,2.5912428,-19.26244,176.65771,1330000
212.23833,0.16278858,0.018124104,11.100449,-60.05759,-213.63988,-297.8998,54.636086,-7.370444,385.44086,1335000
213.98158,0.16932862,0.020842366,6.5586243,-61.40046,-215.50386,-300.50497,2.4563081,-24.792334,200.11462,1340000
214.70564,0.20300362,0.017232174,8.413635,-61.91756,-215.53207,-301.7397,21.853703,-2.503342,200.42586,1345000
213.11894,0.14679922,0.018480454,5.12393,-44.94156,-214.66037,-299.01468,6.604471,-4.9496565,149.41245,1350000
211.861,0.1811622,0.018515574,6.4431925,-65.61496,-212.75792,-300.90155,2.1834486,-28.010567,205.14572,1355000
213.18398,0.20242888,0.020344801,6.8431463,-55.26984,-214.3052,-302.65018,4.1837583,-8.669685,169.64337,1360000
213.44481,0.17007232,0.021225728,7.9836216,-37.28212,-214.81772,-299.1526,3.9600928,-4.6729903,216.65225,1365000
205.12302,0.19289806,0.020465452,8.3853855,-58.45186,-206.6807,-300.00327,3.6066892,-10.325045,184.85947,1370000
214.33652,0.16454923,0.021992702,7.4067583,-46.127987,-215.32394,-300.90317,12.912462,-11.854063,225.58456,1375000
205.52963,0.23848987,0.01871975,6.9549656,-54.280487,-206.71112,-300.94397,4.8590727,-3.9186578,153.42499,1380000
211.69917,0.1591893,0.02087215,8.55444,-28.862104,-213.15573,-300.63382,9.209119,-3.2075887,212.2399,1385000
207.17038,0.15551737,0.019293852,7.8594437,-43.419025,-208.89035,-300.72687,17.878569,-23.270988,239.75638,1390000
212.22226,0.19735058,0.022975244,5.81408,-21.36113,-213.44675,-299.53445,2.0055118,-22.54811,197.62653,1395000
207.63666,0.2026742,0.020181812,6.0076723,-39.327145,-208.91516,-300.20847,6.0046625,-9.81534,158.48338,1400000
201.21004,0.15014312,0.022228956,8.53582,-46.15764,-202.20166,-299.73404,14.973262,-4.7991924,238.79366,1405000
207.30492,0.18395373,0.022335438,8.597179,-49.524574,-208.60413,-299.47345,69.73151,-13.144252,377.3312,1410000
210.47452,0.16137841,0.02030832,7.069106,-50.818176,-211.82289,-301.04944,11.284409,-3.7379334,192.09058,1415000
201.84125,0.19396812,0.019748582,5.8904047,-40.629368,-203.04294,-299.9679,3.6833572,-3.201429,154.30473,1420000
206.98712,0.1809799,0.02059128,6.598875,-28.322258,-207.99712,-298.99368,2.4056387,-37.862198,217.81348,1425000
194.41873,0.16481249,0.021570062,6.848892,-40.948418,-195.72885,-299.7738,5.379691,-31.047426,230.21498,1430000
209.86603,0.20910658,0.021476902,7.7766724,-35.51577,-211.41312,-300.23227,22.97126,-5.69866,262.69858,1435000
202.84412,0.15923457,0.020005587,7.3950915,-46.016575,-204.51779,-299.48468,3.8045502,-15.978241,195.4899,1440000
208.89499,0.1720361,0.020616025,5.9367294,-52.39999,-210.12444,-299.1823,4.374674,-5.82806,156.05164,1445000
205.57346,0.1752421,0.02106061,9.941111,-26.003113,-207.06589,-299.06546,5.798912,-12.846835,248.45045,1450000
201.84625,0.18467289,0.020819725,5.985773,-39.257767,-203.10553,-301.42175,5.8335347,-35.375317,230.96335,1455000
208.10089,0.15685186,0.020921204,7.212397,-43.80588,-210.05264,-299.50388,19.280107,-6.9371953,221.79382,1460000
201.61542,0.17800914,0.021861268,8.959476,-35.62302,-202.70895,-299.45236,2.8537638,-20.043535,218.56076,1465000
203.59601,0.16289966,0.02194798,8.870991,-36.43875,-204.98476,-299.44907,31.352612,-2.2727108,216.68991,1470000
205.39064,0.18283539,0.021096341,8.210287,-25.023249,-206.68587,-300.1724,2.390736,-28.082825,236.97844,1475000
197.95529,0.16955951,0.019516172,10.436459,-35.12878,-199.07022,-298.23184,48.42865,-14.409675,353.66412,1480000
204.76726,0.17230205,0.020919599,7.7894554,-8.303774,-206.19641,-299.39456,7.599492,-4.1403894,205.4561,1485000
197.84445,0.16044427,0.020327954,6.738086,-34.863842,-199.76938,-299.13837,7.0718374,-2.523285,149.70338,1490000
202.246,0.16529636,0.019451052,6.090153,-23.905605,-203.2258,-301.4774,3.1142435,-9.651646,161.92857,1495000
198.49373,0.16366778,0.019182274,8.574367,-37.374107,-200.07956,-301.2809,4.7662935,-9.488148,187.04556,1500000
198.70001,0.185127,0.02164286,8.549072,-10.394321,-200.29277,-298.62173,4.2145824,-46.288223,288.18616,1505000
200.8356,0.16763832,0.020528872,6.760523,-8.535686,-201.53737,-300.86945,9.494364,-8.641202,160.11363,1510000
197.34628,0.18507698,0.021622466,6.6328964,-25.233225,-198.77612,-299.0766,18.095829,-4.6955123,193.2219,1515000
