actor/actor_loss,actor/bc_flow_loss,actor/distill_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
242.14357,0.25228617,0.019902479,4.4593053,-136.34518,-242.20023,-299.56064,3.5229392,-1.2432232,94.97728,1005000
244.53763,0.28541604,0.020102622,4.989677,-135.74092,-245.06335,-300.80966,0.8097619,-2.5322983,97.56702,1010000
245.26299,0.2851379,0.015533714,4.2847943,-126.31141,-245.61874,-299.82254,0.96315527,-3.010281,113.841354,1015000
244.89502,0.2507588,0.01890855,7.9530544,-93.64191,-245.0257,-299.4651,2.5782819,-6.5960493,153.45613,1020000
246.02374,0.25783816,0.02021158,6.35624,-101.40779,-246.0777,-298.02863,1.9880626,-2.0518332,125.098564,1025000
242.04546,0.27306634,0.018003331,6.074027,-135.7525,-242.0578,-298.92792,1.63322,-2.6657531,111.90665,1030000
245.03291,0.26620567,0.018630581,8.521449,-144.09787,-245.36296,-301.98953,2.554013,-3.0971365,144.44513,1035000
239.89337,0.26933438,0.021304388,6.7643003,-121.40352,-240.4159,-299.10068,2.9090707,-3.3620882,138.26068,1040000
243.62057,0.30065703,0.018484538,6.330392,-104.570694,-244.25272,-301.40057,7.3252325,-3.0187182,153.89755,1045000
244.3503,0.260165,0.01964306,5.636241,-160.50076,-244.5176,-299.6209,5.5653815,-1.5294187,129.74599,1050000
244.69498,0.25394723,0.020173198,6.579015,-98.360435,-244.90717,-299.1764,9.193689,-4.8135104,158.96405,1055000
242.11414,0.29210716,0.018112823,6.2383237,-108.432724,-242.38712,-300.8932,1.5663176,-3.8288429,110.574486,1060000
239.2806,0.26123914,0.0172904,5.293807,-92.80036,-239.41881,-300.98993,3.8587227,-1.6055328,123.9711,1065000
238.10027,0.2419453,0.019964691,6.328191,-131.32544,-238.36575,-300.78278,3.8494167,-1.9246604,115.199844,1070000
243.71803,0.25174937,0.02056261,5.3192105,-121.93575,-243.86133,-301.03915,1.3997263,-1.9202005,100.691826,1075000
240.05878,0.23886918,0.020941284,9.3701315,-139.15704,-240.473,-299.87497,4.6813154,-3.6369033,150.06493,1080000
240.16486,0.26070946,0.022409286,6.8541718,-96.195984,-240.20868,-300.88284,3.8085845,-2.7634356,159.87819,1085000
238.68706,0.26413202,0.018035337,4.5896897,-96.22498,-239.02481,-301.05994,2.1838574,-3.5654857,96.05039,1090000
238.63971,0.24910757,0.017998682,5.942717,-98.57109,-239.02731,-299.62296,2.4632618,-1.7561624,122.590775,1095000
235.7946,0.25913033,0.020389587,6.0451703,-83.630394,-236.2014,-302.55316,6.905548,-1.9099241,153.43219,1100000
233.77231,0.2682953,0.019327473,6.2306695,-86.72754,-234.64505,-302.0746,2.949642,-4.09301,128.24496,1105000
238.41373,0.24258038,0.023529666,7.921456,-88.62787,-238.47232,-299.80713,5.684755,-4.5825906,173.35321,1110000
238.32724,0.26566273,0.020499486,7.76837,-108.184875,-239.06683,-300.78552,2.3345306,-3.7373486,132.97607,1115000
238.92844,0.27713656,0.021439709,9.044116,-94.821434,-239.54002,-300.23517,4.19945,-7.6213455,163.05528,1120000
236.37181,0.28047696,0.020839816,6.4452505,-101.89312,-236.93251,-301.91473,1.774352,-4.4388895,137.56429,1125000
237.78328,0.26805866,0.021474171,5.796437,-80.08475,-238.0396,-300.67905,4.803536,-1.6037579,134.40553,1130000
235.72011,0.26946267,0.024335032,6.526758,-97.13468,-235.55544,-297.94785,3.2071295,-4.3959093,149.40218,1135000
235.6221,0.2489257,0.018087516,6.1380177,-97.593575,-235.94798,-300.32898,4.305588,-2.5937111,133.07932,1140000
231.65462,0.253748,0.022747073,5.1500683,-100.870316,-232.23323,-299.637,1.5335399,-5.192739,107.74655,1145000
237.23222,0.23337153,0.021718273,8.095329,-92.78869,-237.31711,-299.56302,8.367687,-12.952756,274.21515,1150000
234.18523,0.26102948,0.017964164,7.0988455,-98.34046,-234.55756,-299.70105,5.0183983,-3.8150175,130.28046,1155000
235.86728,0.27142212,0.018878194,6.7345943,-94.40869,-236.51654,-300.82977,3.9037347,-5.259606,125.24956,1160000
232.87814,0.26511183,0.022982728,6.9379473,-93.362495,-233.54733,-298.5838,2.1642358,-7.502157,149.78896,1165000
233.83359,0.24931623,0.025555205,8.627839,-98.25604,-234.47694,-299.2414,2.5254383,-8.514759,207.67926,1170000
233.05463,0.26044604,0.019726971,7.5521765,-95.74344,-234.07202,-299.12253,1.5929232,-2.6491954,138.33315,1175000
235.95676,0.27029765,0.018637119,7.7389355,-102.07002,-236.01886,-302.11932,10.044706,-2.5898747,174.2865,1180000
229.7754,0.22306882,0.020780167,7.660626,-101.33004,-230.5526,-299.05392,3.3875487,-3.183481,135.09187,1185000
234.70653,0.26520416,0.021924835,7.4909124,-95.033195,-235.29861,-302.4553,3.6461103,-9.193461,158.93205,1190000
228.85204,0.24031828,0.023558745,7.698452,-95.1105,-229.94614,-296.49567,4.4832478,-2.532265,158.09816,1195000
227.83461,0.2657159,0.018937482,6.8135786,-92.61248,-228.61292,-300.8909,1.6717347,-3.449042,141.19711,1200000
231.099,0.23901094,0.023586247,5.696868,-86.26564,-231.41121,-302.08075,4.1052504,-1.2811328,109.24778,1205000
230.2025,0.25220513,0.022347154,6.2411914,-91.40547,-230.40443,-299.42642,5.570449,-1.6695433,153.25452,1210000
231.95877,0.24724926,0.018488606,6.327495,-95.11584,-232.32504,-302.69254,2.0887733,-4.4597883,120.76323,1215000
229.63371,0.24880119,0.020818716,7.221819,-93.01068,-229.54787,-300.3722,2.6319613,-4.9273663,132.02986,1220000
231.1528,0.25826696,0.021976313,6.556181,-92.5059,-231.35667,-298.0763,5.2495346,-2.8368764,136.90935,1225000
227.04701,0.2408563,0.021899104,7.1217685,-90.48319,-227.40428,-300.35376,2.1668572,-2.5746558,128.42145,1230000
230.74976,0.26120013,0.02125059,8.318352,-94.50164,-230.85548,-300.6876,5.880288,-6.3444595,138.46169,1235000
228.10506,0.28191102,0.023415845,7.4877114,-89.57725,-228.3002,-298.5624,6.1658525,-2.1571956,172.06345,1240000
223.69423,0.29139718,0.022317562,7.0452714,-94.858116,-224.00897,-298.0185,10.511693,-4.124271,183.1288,1245000
229.2109,0.26162517,0.02022856,8.551514,-70.85708,-229.6554,-298.75143,7.189416,-4.612571,178.28964,1250000
221.54114,0.27770588,0.02190287,6.90453,-96.88288,-222.73459,-299.59476,5.7616396,-6.6409907,145.06601,1255000
227.81807,0.22741848,0.022146182,8.580845,-96.95693,-228.54642,-299.22528,6.568472,-9.468935,169.1854,1260000
227.22641,0.27388927,0.02261259,9.159629,-92.917145,-227.49664,-297.47385,4.471448,-4.4014397,177.53441,1265000
227.67532,0.26939732,0.023043143,8.382407,-92.41522,-228.4485,-300.51825,7.0452905,-4.5755005,191.68369,1270000
222.0513,0.24300557,0.020294439,7.5917044,-13.679991,-222.45627,-298.2465,6.0574045,-1.7354791,141.41588,1275000
225.3588,0.293926,0.020460019,7.7541285,-89.69479,-225.2658,-300.2514,3.0763102,-6.0620165,156.15527,1280000
228.0185,0.27426514,0.02330647,6.472692,-95.27419,-228.63309,-299.48904,7.039927,-3.6979663,151.29672,1285000
222.73895,0.26520604,0.020767832,7.079463,-85.86098,-223.34525,-299.30026,4.6880884,-2.6933284,135.1577,1290000
223.92387,0.25602612,0.021820726,7.7063465,-80.84374,-224.80112,-300.05527,3.6849492,-8.69034,218.2026,1295000
220.7573,0.24875008,0.01875889,9.9017105,-94.71412,-221.59058,-299.39746,2.9260144,-11.81099,206.50601,1300000
225.23914,0.24618134,0.020875564,8.771635,-89.186584,-225.5863,-300.62466,3.6118655,-11.774656,227.77945,1305000
223.25351,0.25928298,0.02383566,7.5768604,-69.841484,-223.80794,-297.1702,3.3435366,-4.9838758,170.69049,1310000
222.50102,0.29002845,0.021209097,7.984334,-72.85614,-223.19547,-299.42294,4.60555,-4.1711245,183.78827,1315000
224.8479,0.24257088,0.021726148,7.9592476,-89.881775,-225.13022,-298.8916,6.8430076,-5.3013964,176.34216,1320000
219.67351,0.26037094,0.021935368,8.852101,-65.32804,-220.02505,-300.18774,1.7642033,-4.9241285,151.40735,1325000
216.84113,0.23441936,0.018487442,7.796099,-93.06505,-217.97128,-299.26035,2.9878159,-3.5144312,142.54776,1330000
215.3699,0.2806937,0.02085578,7.7126412,-59.46308,-215.68655,-297.8343,3.2252688,-3.1702085,145.77008,1335000
220.70103,0.2748188,0.022894591,10.023666,-52.319473,-221.19576,-300.5692,2.8279428,-2.5017073,152.42444,1340000
219.03917,0.25075334,0.022975676,7.014527,-55.383755,-219.37943,-300.78506,6.214447,-3.8049402,147.37883,1345000
217.33142,0.27896547,0.023513392,8.826323,-16.988672,-217.84908,-299.87695,3.4855676,-9.722014,195.59386,1350000
219.79852,0.27170646,0.024747584,8.143196,-66.00054,-220.58969,-297.3081,7.3286495,-6.339288,198.95123,1355000
210.25032,0.27574223,0.024744017,8.643191,-20.627138,-210.73239,-297.70697,6.237632,-6.462763,167.95056,1360000
214.90247,0.27443004,0.023312084,7.8983917,-67.40289,-215.51944,-296.2935,8.580977,-2.5698414,170.07327,1365000
213.79933,0.2519838,0.025950609,7.607024,-29.62094,-214.21664,-297.6676,2.8712633,-4.7121696,154.4748,1370000
214.28398,0.24913722,0.027597642,7.3692636,-64.18041,-214.63786,-300.26395,2.103234,-2.601842,136.4033,1375000
216.52054,0.28488567,0.024243722,7.9719477,-48.16553,-217.00583,-297.0026,16.027733,-6.065462,203.80289,1380000
211.14635,0.25493574,0.019904876,8.521206,-58.654564,-212.11346,-299.22363,6.7123284,-4.4164762,172.1012,1385000
210.0531,0.24868642,0.024611888,10.552546,-36.42097,-211.70831,-301.11166,4.7924166,-7.6292114,179.26196,1390000
207.98212,0.27021644,0.027808959,9.125176,-58.23687,-208.4382,-299.31732,8.251716,-4.736288,209.99432,1395000
209.22481,0.2616509,0.02063717,7.5805078,-57.575115,-210.00778,-299.12903,1.5883088,-14.139513,185.08072,1400000
210.42749,0.2672169,0.021597825,5.942543,-2.799161,-211.15186,-300.8273,3.643958,-3.3556647,142.4025,1405000
207.20847,0.2509157,0.023856077,7.2044215,-58.76848,-208.52182,-297.41315,5.4078536,-5.0010877,152.1615,1410000
210.66908,0.2577395,0.028905986,8.644844,-23.831038,-211.72256,-297.11893,7.5919647,-2.3102465,191.43576,1415000
209.63524,0.26519948,0.02793194,7.384944,-16.787455,-210.28519,-294.9989,2.8321006,-6.218251,158.98888,1420000
211.94469,0.24790962,0.022937572,8.20272,-47.577053,-212.73523,-294.04883,9.681543,-4.173383,205.3787,1425000
201.07735,0.2685332,0.024537787,7.308793,-53.161167,-201.94925,-299.37198,1.9902351,-4.2845364,136.65031,1430000
206.80153,0.25271356,0.025467083,8.325516,-57.214287,-207.78523,-296.73444,4.5837355,-4.273469,191.1103,1435000
203.94122,0.25394383,0.023500048,10.207905,-22.44188,-204.92862,-297.47037,6.3600636,-2.8785853,175.039,1440000
207.46689,0.268331,0.023876771,13.271864,-5.2470284,-208.7285,-296.4357,5.4018326,-8.463193,225.25513,1445000
211.57816,0.26997992,0.025132593,8.2057705,-56.122982,-212.81366,-292.98477,2.4352813,-2.632507,149.88687,1450000
204.13644,0.25566903,0.025581965,11.505777,-22.936678,-205.13402,-295.9141,5.177242,-5.560544,194.34111,1455000
