actor/actor_loss,actor/alpha,actor/alpha_loss,actor/bc_loss,actor/entropy,actor/q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
-15.635868,1.0,28.818718,0.26434842,16.318718,-0.68285,13.447198,209.80309,1.8989513,-0.6813324,-3.537903,28.818718,-1.873363,683.5181,5000
206.94928,0.29005873,8.391245,0.2256628,16.429468,-211.71478,215.5662,1.106356,-170.15207,-212.08955,-215.50763,8.391245,-0.67060584,42.096313,10000
238.09175,0.10382155,2.0045242,0.31582138,6.8073997,-238.79851,240.41211,3.8721223,-158.46146,-241.48686,-269.16357,2.0045242,-0.94442284,78.196625,15000
217.17665,0.042303585,0.29442814,0.4662167,-5.5401134,-216.94228,217.9373,2.8596094,-123.73485,-221.50113,-268.2397,0.5396174,-0.56935865,53.73966,20000
203.81107,0.022685809,-0.015947282,0.5114307,-13.202963,-203.51154,204.30655,2.337033,-108.92346,-208.05553,-258.00052,0.51925474,-0.5271119,49.89494,25000
198.43329,0.019363305,0.017578539,0.4496279,-11.592173,-198.20882,198.9005,3.3319843,-121.214455,-202.37358,-256.5442,0.8556048,-0.56693393,53.27646,30000
196.52261,0.019680128,0.02755585,0.48082882,-11.099813,-196.30417,197.031,3.2398574,-91.13848,-201.02888,-262.2316,0.6233423,-0.4971177,60.107193,35000
190.95676,0.01920884,0.004650785,0.4979026,-12.257883,-190.72131,191.45932,2.721782,-113.39192,-195.80956,-257.73044,0.96686554,-0.9108701,76.09827,40000
189.06741,0.020927712,0.0017512541,0.4898243,-12.416319,-188.80757,189.55899,2.929379,-94.38562,-194.10403,-261.44684,0.5964984,-0.44003534,42.1417,45000
189.46286,0.017632028,0.023063341,0.46872193,-11.191963,-189.26552,189.95464,2.1162004,-112.54631,-194.1746,-254.84552,1.0516952,-0.67443836,51.40315,50000
186.83527,0.018964117,0.009799045,0.47066638,-11.983285,-186.60802,187.31573,2.2753532,-110.65969,-191.61742,-255.53104,0.5791542,-0.74152374,48.68068,55000
187.2536,0.019707747,-0.011160166,0.48245615,-13.066283,-186.9961,187.7249,2.7391796,-98.993805,-192.0599,-261.19232,0.5780968,-0.55490327,54.52102,60000
184.27701,0.020009391,0.018369561,0.45865965,-11.581953,-184.04526,184.75404,3.1219907,-76.59443,-188.74669,-264.12994,1.443683,-1.0651882,71.025604,65000
185.5549,0.021126708,-0.01305139,0.5035303,-13.117767,-185.27776,186.04538,2.7383747,-92.02642,-190.65015,-265.7779,0.82007205,-0.8196653,48.299187,70000
182.75224,0.022492565,0.0012784976,0.4948323,-12.443159,-182.47235,183.24835,3.4463441,-68.97294,-188.00291,-265.00488,1.1733038,-1.0854689,59.963753,75000
182.14014,0.021365179,-0.020004222,0.4409777,-13.4363,-181.85306,182.56111,2.678391,-69.30505,-186.71353,-262.51343,1.3132664,-0.840504,59.98028,80000
187.77713,0.020332517,0.0124941,0.42743766,-11.885511,-187.53546,188.21707,2.3899217,-61.142242,-192.28825,-261.89236,0.44258863,-0.5250023,50.1295,85000
183.99924,0.020885875,-0.019845959,0.4691015,-13.45021,-183.7183,184.44849,1.8923115,-100.18571,-188.69566,-261.55588,0.43802035,-0.48472133,41.855347,90000
182.81998,0.019836614,-0.010519284,0.43632758,-13.030296,-182.5615,183.24579,2.4164283,-82.69437,-187.2834,-257.2141,0.45559612,-0.48008355,44.78505,95000
185.4527,0.02050954,-0.019650137,0.45746905,-13.458097,-185.17667,185.89052,2.913759,-73.941444,-190.16492,-262.2373,0.58410025,-0.59865636,48.656246,100000
181.57419,0.022020707,0.045892175,0.46896788,-10.415954,-181.3448,182.08905,3.607753,-79.65108,-186.46489,-265.9703,1.2195855,-1.1998119,60.48957,105000
182.14436,0.02024888,0.01214418,0.4177419,-11.900254,-181.9034,182.57425,2.3216176,-102.08175,-186.79358,-267.5806,0.4443484,-0.4456285,39.40546,110000
188.02362,0.021241229,-0.031764384,0.44691768,-13.995412,-187.72633,188.43877,2.7130444,-104.93287,-192.59932,-269.6805,0.50650185,-0.52008116,39.17247,115000
187.87741,0.020157183,-0.008307118,0.42159843,-12.912117,-187.61713,188.29071,3.100104,-84.62021,-192.12483,-271.2398,1.4406204,-1.1322755,50.639103,120000
186.66733,0.020753728,-0.023376128,0.45703542,-13.626358,-186.38454,187.10098,1.8975056,-89.59665,-191.38115,-269.48132,0.5845214,-0.68691856,36.331203,125000
188.18887,0.019747443,-0.0052183145,0.43325168,-12.764253,-187.93683,188.61691,1.9213345,-74.98168,-192.70538,-273.66412,0.41565686,-0.34248808,36.214424,130000
190.08926,0.019331444,-0.015619836,0.4185046,-13.3080015,-189.83202,190.49214,4.5457883,-82.50229,-194.81001,-275.7874,1.5255405,-1.7517905,59.72641,135000
189.94006,0.019577745,0.009257708,0.41629523,-12.027131,-189.70462,190.36562,2.3100781,-80.832184,-194.3455,-278.1411,0.47054803,-0.5634092,44.82058,140000
192.5584,0.019670807,0.016817724,0.46084914,-11.645041,-192.32933,193.03606,2.6058393,-85.41373,-197.12733,-276.25595,0.805422,-0.4796143,53.44431,145000
193.72575,0.019344917,0.009783372,0.3947801,-11.9942665,-193.49373,194.13031,2.0326324,-67.164986,-197.92268,-276.85797,0.28398484,-0.30895197,32.99917,150000
190.38988,0.01881945,-0.01181686,0.46426037,-13.127907,-190.14282,190.84233,2.0559537,-86.785225,-195.02602,-278.02185,0.6377493,-0.56238174,43.15474,155000
189.24576,0.01908624,0.0005698518,0.4273087,-12.470143,-189.00774,189.67363,2.304029,-86.65484,-193.46298,-277.20422,0.97786117,-0.8448639,54.831215,160000
189.90005,0.018463856,-0.015975034,0.4154271,-13.365206,-189.65329,190.2995,2.9763076,-82.04676,-194.04431,-278.56213,0.77880055,-1.0073658,49.3489,165000
192.91376,0.01791082,0.009137341,0.4295533,-11.989842,-192.699,193.35245,2.0638828,-93.2137,-197.02786,-278.6864,0.6455597,-0.5385252,41.867172,170000
189.57335,0.018320538,-0.001962523,0.417003,-12.607121,-189.34238,189.98839,3.365587,-89.579475,-194.36388,-284.32797,1.1987301,-1.1213698,63.61904,175000
193.5305,0.018998923,0.01420433,0.42200455,-11.752361,-193.30722,193.9667,2.8171852,-110.90587,-197.9128,-283.7987,1.2681185,-1.1800597,52.50782,180000
190.6329,0.017866772,-0.01865512,0.41348732,-13.544124,-190.3909,191.02773,2.6457198,-104.45402,-195.11185,-282.38412,0.71272886,-0.48328203,48.519207,185000
196.25082,0.01855889,0.016755985,0.38867998,-11.597145,-196.03558,196.65627,2.0690804,-105.930855,-200.27492,-282.02,0.46816975,-0.6680076,41.148293,190000
190.765,0.018369552,0.014648923,0.40381086,-11.702543,-190.55002,191.18346,3.0368714,-89.91504,-194.9333,-281.67667,0.69785315,-0.77642643,49.07206,195000
191.70264,0.018741995,0.010528967,0.38607433,-11.938215,-191.47888,192.09924,1.9989887,-89.988014,-195.77393,-285.27646,0.6802666,-0.6304593,42.835938,200000
194.51065,0.01824981,-0.0018084712,0.39117575,-12.599095,-194.28073,194.90001,2.261982,-90.58647,-198.7879,-285.1323,0.6465984,-0.7178042,41.84496,205000
193.54092,0.01759055,-0.0037483023,0.4106179,-12.713086,-193.31728,193.94778,2.5036898,-93.04115,-198.04195,-284.47687,1.0695769,-0.8268292,43.754433,210000
193.10437,0.017961238,0.008873802,0.39591277,-12.005947,-192.88873,193.50917,2.0103166,-84.483696,-197.07146,-286.22424,0.36205095,-0.27354288,27.674755,215000
191.56784,0.018610936,0.008596865,0.40885633,-12.0380745,-191.3438,191.98529,3.0530488,-109.22117,-195.88264,-285.59537,1.0428503,-1.2159764,48.007607,220000
195.00348,0.018264122,0.007146023,0.4389766,-12.10874,-194.78232,195.4496,2.4378912,-81.94138,-199.55,-286.55753,1.1888536,-1.1303886,48.10782,225000
192.63864,0.017271101,0.022409989,0.39614898,-11.202457,-192.44516,193.0572,2.4033859,-91.74007,-196.62825,-286.62442,5.6353703,-5.3100457,137.02829,230000
199.48828,0.017996833,0.016391668,0.4128839,-11.589191,-199.27972,199.91756,2.4958322,-94.10188,-203.73074,-284.54846,3.5768416,-3.3730974,55.66569,235000
197.47345,0.018151369,0.006915404,0.42032966,-12.119015,-197.25348,197.9007,2.4154394,-97.04092,-201.73627,-284.94864,0.46422377,-0.41728264,36.13819,240000
197.16531,0.018977383,-0.0037086376,0.39918724,-12.695424,-196.9244,197.56079,1.8791258,-96.58619,-201.24185,-282.12802,0.3572892,-0.3046357,29.959084,245000
195.68091,0.018511698,0.035891976,0.39726374,-10.561119,-195.48538,196.11406,2.112748,-91.13511,-199.78748,-282.20944,0.344702,-0.3262998,31.81644,250000
199.03421,0.018504955,-0.010061483,0.4072361,-13.043718,-198.79283,199.4314,2.0103893,-109.26424,-202.83833,-285.5543,1.9675142,-1.4941592,39.87782,255000
197.94565,0.018018479,-0.014137509,0.40910456,-13.284612,-197.70628,198.3406,2.3199596,-95.17371,-202.09026,-283.94086,0.8911471,-0.43609563,35.845345,260000
