actor/actor_loss,actor/bc_flow_loss,actor/distill_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
0.18152034,0.18152034,0.0,4.1245074,-137.13246,-239.29411,-285.52896,2.1548593,-1.9454175,62.716507,1005000
0.17157254,0.17157254,0.0,6.9235926,-87.47823,-242.2485,-285.86346,4.3974442,-4.31519,135.9455,1010000
0.1935327,0.1935327,0.0,3.9230163,-134.19417,-239.72766,-288.04108,0.909871,-2.6376204,66.95616,1015000
0.20545414,0.20545414,0.0,3.8890405,-88.24474,-234.41602,-287.5558,1.7604392,-9.013157,116.68167,1020000
0.18767202,0.18767202,0.0,3.8537292,-84.995766,-235.70644,-282.88373,8.062282,-0.9467484,96.517975,1025000
0.19799003,0.19799003,0.0,3.2394192,-138.83002,-237.42903,-285.17047,1.2724693,-2.848168,65.498566,1030000
0.17299782,0.17299782,0.0,4.623226,-82.0893,-232.91374,-282.82968,1.816509,-1.3616334,73.99671,1035000
0.19201837,0.19201837,0.0,3.9192548,-89.822075,-231.89612,-280.1496,1.6886154,-5.2041817,112.35799,1040000
0.20019072,0.20019072,0.0,7.932831,-76.25612,-233.01881,-284.76865,4.788969,-5.835609,149.96027,1045000
0.21147138,0.21147138,0.0,4.5845013,-82.53998,-231.69167,-282.9143,2.325593,-4.0011845,81.40665,1050000
0.20633514,0.20633514,0.0,6.188765,-91.35776,-234.49762,-290.44608,2.6873984,-8.476952,142.29694,1055000
0.20336153,0.20336153,0.0,8.512526,-66.59925,-235.92413,-282.62903,5.600844,-2.3158402,110.31862,1060000
0.21365534,0.21365534,0.0,5.428228,-81.20635,-230.20428,-288.92496,2.0489182,-3.6755068,80.31659,1065000
0.18309344,0.18309344,0.0,4.5030394,-83.16969,-228.45178,-282.27536,2.8884277,-6.135627,101.39001,1070000
0.20537508,0.20537508,0.0,4.689268,-52.902466,-233.0602,-291.10318,3.586128,-4.505189,81.66566,1075000
0.19719589,0.19719589,0.0,4.184999,-88.54332,-233.44434,-288.26395,12.462017,-3.199118,137.5239,1080000
0.19201218,0.19201218,0.0,8.753058,-72.02992,-227.1948,-283.32343,2.5111492,-3.2649221,113.499374,1085000
0.17831218,0.17831218,0.0,4.329761,-77.796104,-230.5776,-284.01282,2.3729777,-2.3844962,82.19224,1090000
0.16714808,0.16714808,0.0,4.48153,-127.009834,-229.6942,-287.58536,5.489848,-2.1219447,92.073875,1095000
0.16976513,0.16976513,0.0,5.080593,-66.94753,-230.0118,-280.3422,1.9610746,-4.713218,91.34953,1100000
0.17039163,0.17039163,0.0,4.1113834,-80.7047,-232.72884,-287.41376,1.1214193,-5.753687,79.03805,1105000
0.1699045,0.1699045,0.0,4.802984,-48.984554,-228.76555,-283.0756,2.9898221,-4.640136,100.769035,1110000
0.1957373,0.1957373,0.0,5.781811,-29.206482,-226.58261,-284.74426,4.252115,-3.98554,124.86601,1115000
0.18289833,0.18289833,0.0,3.4381933,-51.63988,-229.03325,-284.07605,4.8348026,-1.791547,73.03246,1120000
0.17515415,0.17515415,0.0,5.7665377,-55.049675,-225.96347,-287.045,2.3771708,-5.057057,109.23118,1125000
0.16127719,0.16127719,0.0,3.1870782,-50.379257,-226.96497,-282.07956,2.0489461,-2.8129728,88.67651,1130000
0.1904034,0.1904034,0.0,4.442895,-81.357956,-229.57646,-283.13013,3.1919498,-1.4034824,74.01719,1135000
0.17608364,0.17608364,0.0,4.499933,-59.611916,-230.81685,-286.58295,2.1951535,-2.1026635,92.44145,1140000
0.17916572,0.17916572,0.0,6.0885625,-46.77137,-226.04645,-284.67764,3.5310729,-2.3115897,103.05192,1145000
0.19385616,0.19385616,0.0,2.891148,-40.61902,-228.09956,-288.0826,1.4441346,-2.7474687,63.48001,1150000
0.17813969,0.17813969,0.0,3.861659,-47.199036,-226.08856,-277.5871,1.2134938,-2.2302942,71.181595,1155000
0.2129354,0.2129354,0.0,5.4948816,-82.60719,-224.88345,-288.74417,5.6416636,-2.1022313,86.01651,1160000
0.18366785,0.18366785,0.0,8.343867,-77.14605,-225.90535,-283.33078,5.981532,-3.9771442,154.51991,1165000
0.20313533,0.20313533,0.0,3.723742,-52.555065,-230.60724,-284.32806,3.8647738,-1.1420546,77.10649,1170000
0.19736852,0.19736852,0.0,4.1814637,-78.01521,-223.5392,-284.08127,1.7080833,-3.227963,74.21149,1175000
0.16942388,0.16942388,0.0,2.9689474,-59.5616,-224.00406,-287.17682,1.4989898,-5.29116,95.56766,1180000
0.19041637,0.19041637,0.0,5.0326037,-23.911722,-224.68195,-284.22855,3.4943092,-6.09769,106.55441,1185000
0.1942248,0.1942248,0.0,4.7232866,-75.596405,-224.96881,-284.51013,2.378313,-2.392736,82.152374,1190000
0.17576239,0.17576239,0.0,5.7725058,-21.004055,-224.69104,-282.56985,4.3849316,-1.7024882,97.8571,1195000
0.16457734,0.16457734,0.0,4.163847,-48.27591,-228.72733,-287.882,11.34115,-1.672207,136.19402,1200000
0.19606435,0.19606435,0.0,6.0875254,-73.08593,-228.1907,-287.95612,3.5309951,-3.9244277,116.98059,1205000
0.18081017,0.18081017,0.0,3.9973023,-30.460371,-218.79517,-284.94043,2.624595,-4.167268,88.55917,1210000
0.18679142,0.18679142,0.0,9.642517,-55.917747,-220.03072,-288.3669,2.4962766,-10.812872,183.63539,1215000
0.18140563,0.18140563,0.0,6.1019826,-15.679748,-223.12558,-279.4873,1.7643455,-5.4662576,125.38556,1220000
0.17627075,0.17627075,0.0,6.9358997,-61.99911,-224.78386,-285.124,2.2636142,-5.013459,102.09377,1225000
0.17531075,0.17531075,0.0,3.0642922,-47.05739,-222.41267,-288.66592,7.3945885,-1.1754266,94.56044,1230000
0.19354454,0.19354454,0.0,5.177362,-51.27445,-225.65329,-281.3063,3.7954512,-3.627747,90.67005,1235000
0.19933204,0.19933204,0.0,4.771431,-50.943478,-227.27179,-289.3314,9.331018,-5.712944,148.2374,1240000
0.17516905,0.17516905,0.0,4.3538957,-42.816746,-226.229,-281.2688,6.6175623,-1.8997148,91.067856,1245000
0.18036315,0.18036315,0.0,3.5732043,-42.32617,-224.30733,-280.14413,2.009263,-4.7575984,95.864105,1250000
0.19064842,0.19064842,0.0,5.1651955,-75.741066,-225.12683,-283.9014,2.4762318,-4.6549315,107.70535,1255000
0.18017216,0.18017216,0.0,8.120125,-31.227427,-218.87854,-285.53513,5.156073,-3.069817,140.78674,1260000
0.17539655,0.17539655,0.0,5.279494,-39.692547,-221.51675,-281.0419,7.1273203,-3.5432103,143.28249,1265000
0.1916017,0.1916017,0.0,6.846781,-12.953997,-221.83887,-282.13608,4.014789,-2.5874958,98.13005,1270000
