actor/actor_loss,actor/alpha,actor/alpha_loss,actor/bc_loss,actor/entropy,actor/q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
-15.642565,1.0,28.798424,0.0,16.298424,-0.65585834,13.155859,209.82397,1.8989513,-0.6508303,-3.537903,28.798424,-1.798002,691.0483,5000
206.8742,0.28992233,8.399369,0.0,16.471102,-211.64955,215.27357,1.1151203,-166.61894,-212.029,-215.49892,8.399369,-0.34677082,43.416553,10000
236.77493,0.104666136,1.9414501,0.0,6.0489798,-237.40805,238.71638,4.221714,-157.18855,-240.39607,-269.65076,1.9414501,-1.0367103,80.038185,15000
219.3713,0.047060125,0.12592152,0.0,-9.824242,-218.90895,219.49722,2.912853,-122.42263,-223.7097,-278.28098,1.0175977,-0.59823143,66.4297,20000
196.46283,0.0376367,-0.0077527063,0.0,-12.705988,-195.98462,196.45508,2.4899702,-99.06165,-201.20561,-255.38152,0.7359031,-0.72778994,52.03843,25000
189.8508,0.03847904,-0.006961908,0.0,-12.680927,-189.36285,189.84384,3.4918244,-115.377686,-194.57614,-251.82993,0.88438225,-0.7125671,59.66256,30000
185.45074,0.038787145,-0.056185238,0.0,-13.948553,-184.90971,185.39456,3.2097619,-94.2215,-190.44263,-251.7785,0.71594644,-0.6401246,54.905197,35000
187.08484,0.036358215,0.025645923,0.0,-11.794632,-186.65602,187.11049,2.5292797,-118.58476,-191.69614,-252.15746,1.1441121,-1.0585495,61.840782,40000
184.40857,0.03774206,0.003991874,0.0,-12.394233,-183.94078,184.41257,2.5427375,-91.60584,-189.2973,-248.74414,0.6847661,-0.9315591,46.669224,45000
181.97455,0.038464017,1.966163e-05,0.0,-12.499489,-181.49377,181.97456,2.1755512,-109.00493,-187.06926,-253.8716,0.915186,-0.91046023,51.332417,50000
182.56497,0.03592434,0.016253687,0.0,-12.047558,-182.13217,182.58122,2.2161992,-106.4707,-187.49065,-246.81477,0.90892285,-0.6890813,48.15142,55000
180.4061,0.037833568,-0.026199643,0.0,-13.192497,-179.90698,180.3799,2.9974358,-91.41205,-185.38544,-261.7006,0.735723,-0.5877752,67.18559,60000
182.884,0.0354837,0.015158817,0.0,-12.072795,-182.45563,182.89915,3.204956,-77.684746,-187.46927,-263.53607,0.7986269,-0.8375273,64.77761,65000
185.96487,0.036792822,0.014684903,0.0,-12.100876,-185.51964,185.97955,2.0249436,-90.18659,-190.8164,-267.3265,0.7393315,-0.8482056,43.427845,70000
181.63754,0.036869816,0.049432915,0.0,-11.159258,-181.2261,181.68698,3.3677888,-72.05594,-186.75598,-261.43417,1.1989777,-0.9563256,76.69091,75000
180.61642,0.0363105,0.013235907,0.0,-12.13548,-180.17578,180.62965,3.1682847,-70.46013,-185.21936,-265.64496,1.6053576,-1.2989845,69.42624,80000
183.96762,0.03747216,-0.032581583,0.0,-13.369488,-183.46664,183.93504,2.3560688,-58.836994,-188.43681,-262.89206,0.42437643,-0.777941,44.930756,85000
182.35425,0.037232645,-0.027420202,0.0,-13.236456,-181.86142,182.32683,2.110761,-95.627556,-187.02638,-261.76648,0.5199356,-0.5379767,43.407696,90000
183.10847,0.03598348,-0.054313067,0.0,-14.009389,-182.60437,183.05417,2.429903,-79.110374,-187.68404,-264.82394,0.8995271,-0.98381394,48.68564,95000
184.38998,0.036304984,-0.0014047297,0.0,-12.538692,-183.93475,184.38858,2.5671844,-114.231094,-189.09068,-264.33084,0.72207433,-0.6787588,38.94761,100000
182.59157,0.035228048,0.023395002,0.0,-11.835898,-182.1746,182.61496,2.9152372,-71.11714,-187.40947,-258.43066,0.5011651,-0.5323713,47.13212,105000
185.73691,0.03501763,-0.025585162,0.0,-13.230637,-185.27359,185.71132,2.4568913,-97.960815,-190.67003,-267.41302,0.81200427,-0.8444289,42.059715,110000
186.78043,0.03236906,-0.02260422,0.0,-13.198328,-186.35321,186.75783,2.5136383,-87.18797,-191.31596,-266.42545,0.6615231,-0.79351234,46.196083,115000
189.80273,0.032581184,-0.027341975,0.0,-13.339195,-189.36813,189.77539,2.802927,-107.220726,-194.07918,-271.1545,0.8276831,-0.58670735,47.978416,120000
186.42834,0.0336989,0.005186523,0.0,-12.346092,-186.01228,186.43353,2.1181648,-98.86646,-190.76707,-269.8635,0.8604114,-0.8857544,39.101494,125000
185.1528,0.034265723,-0.06865804,0.0,-14.503695,-184.6558,185.08414,2.1996734,-68.11273,-189.8621,-270.63275,0.7727729,-0.64855355,38.59735,130000
185.7097,0.03309945,0.014241202,0.0,-12.069745,-185.31021,185.72394,4.54525,-89.70514,-190.35027,-273.20297,2.9913437,-3.388734,80.985344,135000
188.3865,0.032987077,0.010096491,0.0,-12.193926,-187.98425,188.3966,1.7514123,-95.59822,-192.82794,-274.11652,0.5084205,-0.4457816,31.269753,140000
189.89035,0.032582678,-0.022066243,0.0,-13.177238,-189.461,189.86829,2.338656,-103.97696,-194.32251,-271.35712,0.97316885,-0.9383374,43.21289,145000
