actor/actor_loss,actor/alpha,actor/alpha_loss,actor/bc_loss,actor/entropy,actor/q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
-2.414034,1.0,5.5849094,0.0,3.0849097,-0.6708759,3.1708755,9.597418,1.9107394,-0.6739567,-3.7039976,5.5849094,-0.5365298,157.34262,5000
68.56648,0.2894554,1.711997,0.0,3.414545,-69.55485,70.27848,0.1469492,-51.238823,-69.56309,-70.797165,1.711997,-0.065470785,6.8067446,10000
119.34156,0.09509321,0.5198227,0.0,2.9664545,-119.62364,119.86138,0.3994864,-87.72416,-119.72576,-121.980446,0.5198227,-0.28996634,14.94943,15000
141.74805,0.047787767,0.0352295,0.0,-1.7627925,-141.6638,141.78328,0.4546195,-90.26084,-142.68669,-160.97734,0.35707113,-0.31886068,22.978285,20000
157.20465,0.026745364,0.018721074,0.0,-1.8000255,-157.15651,157.22337,0.27351767,-97.10753,-157.79599,-184.70628,0.18349794,-0.18222354,15.11224,25000
168.51363,0.028863175,0.0077774907,0.0,-2.2305393,-168.44925,168.52141,0.4169944,-100.02395,-169.45213,-203.13594,0.30094796,-0.32920477,23.380499,30000
179.03894,0.025772814,-0.005263725,0.0,-2.7042356,-178.96924,179.03368,0.6474455,-102.76686,-179.80193,-216.46959,0.32427523,-0.30070192,28.155258,35000
181.43842,0.033586398,-0.0039010728,0.0,-2.6161504,-181.35052,181.43451,0.74690264,-98.65681,-182.43974,-231.41814,0.42270073,-0.47076803,25.033573,40000
180.68536,0.04127633,0.0029218649,0.0,-2.429212,-180.5851,180.68828,1.2267201,-102.43392,-181.7937,-243.06003,0.49967736,-0.45982447,39.49071,45000
173.89185,0.04617801,0.018102946,0.0,-2.1079748,-173.79451,173.90994,0.65329164,-92.38,-174.95946,-247.361,0.50480294,-0.4846349,23.844706,50000
169.79703,0.0451449,0.011259262,0.0,-2.2505972,-169.6954,169.80829,0.9774937,-89.720566,-170.94267,-233.16939,0.35613447,-0.2582425,28.913694,55000
168.48999,0.04354434,0.01225783,0.0,-2.2184978,-168.3934,168.50224,0.6929188,-85.73175,-169.52739,-235.0149,0.23599286,-0.22950363,23.11007,60000
171.34322,0.04320898,-0.0015014495,0.0,-2.5347486,-171.23369,171.34172,0.9011759,-88.19564,-172.46117,-240.5778,0.33265382,-0.40595603,41.569958,65000
171.08846,0.040357914,-0.0058051143,0.0,-2.6438408,-170.98175,171.08266,0.9164114,-98.57465,-172.08643,-236.94865,0.22275831,-0.20353189,22.762943,70000
170.75772,0.040581636,0.009255484,0.0,-2.2719293,-170.66553,170.76698,0.58740187,-90.708855,-171.84666,-238.31474,0.16809182,-0.17128423,19.324696,75000
174.25247,0.03617378,-0.009829448,0.0,-2.7717285,-174.1522,174.24265,0.6723377,-86.67987,-175.20967,-248.83142,0.19326977,-0.23769245,27.020908,80000
176.30624,0.038030766,0.01572878,0.0,-2.0864196,-176.2269,176.32198,0.8608703,-85.22747,-177.29881,-242.59506,0.21840996,-0.34114662,23.243813,85000
176.54245,0.038702466,-0.0042450223,0.0,-2.6096835,-176.44145,176.53821,0.86723703,-98.46469,-177.58215,-246.0002,0.29775333,-0.3640409,27.334562,90000
180.4263,0.040590324,0.0013334223,0.0,-2.4671493,-180.32616,180.42763,0.69354147,-91.86251,-181.47002,-250.00882,0.23157287,-0.22626342,22.34856,95000
177.39053,0.04016267,-0.0007555953,0.0,-2.5188134,-177.28937,177.38977,0.63114655,-89.866875,-178.4575,-256.26718,0.29460254,-0.27655333,17.163979,100000
178.32996,0.039030902,0.0009016657,0.0,-2.4768987,-178.23328,178.33086,0.61734587,-86.26413,-179.29759,-255.79054,0.2736995,-0.28731924,23.586187,105000
178.00346,0.040292237,0.00017158984,0.0,-2.4957414,-177.90291,178.00363,0.8565543,-94.45625,-179.08334,-260.07507,0.1946312,-0.25412554,21.281761,110000
175.18997,0.038728364,-0.010716481,0.0,-2.7767088,-175.08243,175.17926,0.8504667,-97.425766,-176.26549,-258.28168,0.3431932,-0.31809747,23.388779,115000
177.26808,0.039831355,-0.004911323,0.0,-2.623303,-177.1636,177.26317,0.737345,-79.84471,-178.24327,-252.89162,0.25146744,-0.24884748,19.620985,120000
177.74312,0.037829127,-0.00017865165,0.0,-2.5047226,-177.64838,177.74294,0.5843577,-90.12785,-178.69258,-251.12137,0.21325831,-0.22096659,18.254307,125000
177.37517,0.040667303,-0.0017557228,0.0,-2.5431728,-177.27173,177.37341,0.80247766,-86.51244,-178.39691,-255.94788,0.34965625,-0.32089877,20.359718,130000
175.19138,0.04081643,-0.0015803883,0.0,-2.5387194,-175.08774,175.18979,0.91213983,-86.788734,-176.36111,-259.6325,0.24854659,-0.23871781,23.245499,135000
